ID;LAT;LON;DEP;X;Y;Z;EX;EY;EZ;YR;MO;DY;HR;MI;SC;MAG;NCCP;NCCS;NCTP;NCTS;RCC;RCT;CID;;;ID_old;Date;MW;CCC
106;0;0;0;16;414;112;21;23;8;2014;6;22;6;30;37;-0.1;;;;;;;;;;2.01406E+13;22.06.14;0.77;0.77
107;0;0;0;46;161;0;20;21;5;2014;6;22;12;44;37;-0.22;;;;;;;;;;2.01406E+13;22.06.14;0.69;0.87
108;0;0;0;88;34;39;35;68;8;2014;6;22;16;57;52;-0.82;;;;;;;;;;2.01406E+13;22.06.14;0.28;0.85
109;0;0;0;91;63;-12;31;49;7;2014;6;22;17;6;28;-0.67;;;;;;;;;;2.01406E+13;22.06.14;0.38;0.85
110;0;0;0;0;204;-73;29;35;10;2014;6;22;17;21;39;-0.73;;;;;;;;;;2.01406E+13;22.06.14;0.35;0.86
111;0;0;0;-113;245;-27;38;52;14;2014;6;23;0;18;29;-0.47;;;;;;;;;;2.01406E+13;23.06.14;0.52;0.68
112;0;0;0;-56;209;-79;15;21;9;2014;6;23;1;32;35;-0.2;;;;;;;;;;2.01406E+13;23.06.14;0.7;0.88
113;0;0;0;-92;239;-26;43;56;13;2014;6;23;2;35;45;-0.44;;;;;;;;;;2.01406E+13;23.06.14;0.54;0.77
114;0;0;0;55;0;44;18;23;7;2014;6;23;10;50;59;0.17;;;;;;;;;;2.01406E+13;23.06.14;0.95;0.93
115;0;0;0;78;31;52;10;14;6;2014;6;25;0;46;17;0.25;;;;;;;;;;2.01406E+13;25.06.14;1;0.96
116;0;0;0;231;66;316;15;21;38;2014;6;25;9;33;56;2.67;;;;;;;;;;2.01406E+13;25.06.14;2.61;0.58
117;0;0;0;61;53;47;18;26;8;2014;6;25;9;37;43;-0.22;;;;;;;;;;2.01406E+13;25.06.14;0.69;0.81
118;0;0;0;21;156;29;24;23;7;2014;6;25;10;0;17;-0.11;;;;;;;;;;2.01406E+13;25.06.14;0.76;0.92
119;0;0;0;170;284;161;24;23;8;2014;6;25;11;48;52;0.19;;;;;;;;;;2.01406E+13;25.06.14;0.96;0.84
120;0;0;0;50;83;27;9;11;6;2014;6;25;18;35;9;0.48;;;;;;;;;;2.01406E+13;25.06.14;1.15;0.88
121;0;0;0;200;-83;148;29;42;14;2014;6;26;19;8;13;-0.27;;;;;;;;;;2.01406E+13;26.06.14;0.65;0.63
122;0;0;0;112;176;108;26;47;6;2014;6;26;21;6;2;-0.41;;;;;;;;;;2.01406E+13;26.06.14;0.56;0.83
123;0;0;0;166;-2;6;24;42;11;2014;6;27;5;16;10;-0.67;;;;;;;;;;2.01406E+13;27.06.14;0.39;0.62
124;0;0;0;62;78;19;26;26;8;2014;6;27;7;14;47;-0.67;;;;;;;;;;2.01406E+13;27.06.14;0.39;0.76
125;0;0;0;-32;-30;21;15;23;8;2014;6;28;13;24;45;-0.42;;;;;;;;;;2.01406E+13;28.06.14;0.55;0.84
126;0;0;0;3;116;0;23;23;5;2014;6;29;5;55;37;-0.49;;;;;;;;;;2.01406E+13;29.06.14;0.5;0.81
127;0;0;0;53;66;16;23;28;8;2014;7;1;4;41;32;-0.54;;;;;;;;;;2.01407E+13;01.07.14;0.47;0.85
128;0;0;0;81;122;24;31;28;6;2014;7;1;9;54;17;-0.26;;;;;;;;;;2.01407E+13;01.07.14;0.66;0.94
129;0;0;0;56;165;11;24;26;6;2014;7;1;22;9;10;-0.87;;;;;;;;;;2.01407E+13;01.07.14;0.26;0.77
130;0;0;0;41;27;38;23;23;7;2014;7;2;11;25;34;-0.53;;;;;;;;;;2.01407E+13;02.07.14;0.48;0.82
131;0;0;0;-8;-69;26;29;35;7;2014;7;2;17;22;33;-0.63;;;;;;;;;;2.01407E+13;02.07.14;0.41;0.81
132;0;0;0;73;155;17;43;56;12;2014;7;2;17;45;44;-0.83;;;;;;;;;;2.01407E+13;02.07.14;0.28;0.78
133;0;0;0;138;96;83;12;16;6;2014;7;2;18;55;58;0.15;;;;;;;;;;2.01407E+13;02.07.14;0.93;0.85
134;0;0;0;127;100;73;9;14;6;2014;7;2;18;59;23;0.73;;;;;;;;;;2.01407E+13;02.07.14;1.32;0.89
135;0;0;0;104;119;70;27;26;6;2014;7;2;19;43;33;-0.99;;;;;;;;;;2.01407E+13;02.07.14;0.17;0.62
136;0;0;0;154;116;87;13;14;6;2014;7;2;19;47;18;-0.18;;;;;;;;;;2.01407E+13;02.07.14;0.71;0.81
137;0;0;0;131;144;71;9;14;6;2014;7;2;20;21;39;1.56;;;;;;;;;;2.01407E+13;02.07.14;1.87;0.89
138;0;0;0;110;118;50;21;33;7;2014;7;2;20;22;23;-0.66;;;;;;;;;;2.01407E+13;02.07.14;0.4;0.81
139;0;0;0;84;19;9;26;47;7;2014;7;2;20;41;30;-0.54;;;;;;;;;;2.01407E+13;02.07.14;0.47;0.85
140;0;0;0;52;102;11;24;23;8;2014;7;2;21;4;26;-0.7;;;;;;;;;;2.01407E+13;02.07.14;0.36;0.8
141;0;0;0;19;138;18;27;54;6;2014;7;2;21;9;38;-0.87;;;;;;;;;;2.01407E+13;02.07.14;0.25;0.75
142;0;0;0;140;72;73;23;37;6;2014;7;2;22;56;45;-0.95;;;;;;;;;;2.01407E+13;02.07.14;0.2;0.69
143;0;0;0;-146;399;15;29;61;8;2014;7;2;23;54;40;-0.7;;;;;;;;;;2.01407E+13;02.07.14;0.37;0.8
144;0;0;0;42;-21;48;21;21;7;2014;7;3;0;53;30;-0.73;;;;;;;;;;2.01407E+13;03.07.14;0.34;0.67
145;0;0;0;71;143;27;21;23;7;2014;7;3;1;25;45;-0.58;;;;;;;;;;2.01407E+13;03.07.14;0.44;0.91
146;0;0;0;31;2;28;23;26;8;2014;7;3;15;3;37;-0.57;;;;;;;;;;2.01407E+13;03.07.14;0.46;0.87
147;0;0;0;57;70;24;15;18;6;2014;7;3;18;1;5;0.09;;;;;;;;;;2.01407E+13;03.07.14;0.89;0.85
148;0;0;0;74;82;19;10;14;6;2014;7;4;17;2;14;0.5;;;;;;;;;;2.01407E+13;04.07.14;1.17;0.86
149;0;0;0;94;70;44;27;33;6;2014;7;4;17;24;54;-0.54;;;;;;;;;;2.01407E+13;04.07.14;0.47;0.84
150;0;0;0;75;84;38;31;35;7;2014;7;4;17;46;35;-0.88;;;;;;;;;;2.01407E+13;04.07.14;0.24;0.83
151;0;0;0;105;44;51;18;18;6;2014;7;4;17;48;42;-0.97;;;;;;;;;;2.01407E+13;04.07.14;0.18;0.74
152;0;0;0;89;46;42;18;18;7;2014;7;4;17;49;34;-0.23;;;;;;;;;;2.01407E+13;04.07.14;0.68;0.95
153;0;0;0;93;75;52;7;11;6;2014;7;4;18;32;24;0.8;;;;;;;;;;2.01407E+13;04.07.14;1.37;0.91
154;0;0;0;73;141;25;9;11;6;2014;7;4;20;49;53;1.78;;;;;;;;;;2.01407E+13;04.07.14;2.02;0.9
155;0;0;0;84;99;39;17;21;6;2014;7;4;20;51;53;-0.61;;;;;;;;;;2.01407E+13;04.07.14;0.43;0.91
156;0;0;0;56;78;19;26;37;7;2014;7;4;20;55;46;-0.81;;;;;;;;;;2.01407E+13;04.07.14;0.29;0.84
157;0;0;0;30;145;-3;18;23;6;2014;7;4;22;39;17;-0.51;;;;;;;;;;2.01407E+13;04.07.14;0.49;0.86
158;0;0;0;182;-16;-14;23;42;11;2014;7;5;0;16;18;-0.83;;;;;;;;;;2.01407E+13;05.07.14;0.28;0.85
159;0;0;0;41;137;-3;12;16;7;2014;7;5;0;18;44;0.38;;;;;;;;;;2.01407E+13;05.07.14;1.09;0.88
160;0;0;0;28;91;9;15;18;6;2014;7;5;0;31;24;-0.48;;;;;;;;;;2.01407E+13;05.07.14;0.51;0.85
161;0;0;0;35;-11;40;20;21;7;2014;7;6;2;33;0;-0.57;;;;;;;;;;2.01407E+13;06.07.14;0.45;0.95
162;0;0;0;68;-12;53;21;23;7;2014;7;6;4;4;42;-0.62;;;;;;;;;;2.01407E+13;06.07.14;0.42;0.8
163;0;0;0;80;54;41;20;28;8;2014;7;6;5;12;49;-0.87;;;;;;;;;;2.01407E+13;06.07.14;0.25;0.7
164;0;0;0;68;6;45;18;23;7;2014;7;6;5;40;29;-0.6;;;;;;;;;;2.01407E+13;06.07.14;0.43;0.81
165;0;0;0;67;61;22;15;18;6;2014;7;6;5;47;36;0.1;;;;;;;;;;2.01407E+13;06.07.14;0.9;0.91
166;0;0;0;34;-43;61;17;21;6;2014;7;9;0;4;44;-0.05;;;;;;;;;;2.01407E+13;09.07.14;0.8;0.88
167;0;0;0;80;49;38;17;18;7;2014;7;9;5;27;53;-0.1;;;;;;;;;;2.01407E+13;09.07.14;0.76;0.75
168;0;0;0;84;42;59;15;16;6;2014;7;9;9;7;10;0.02;;;;;;;;;;2.01407E+13;09.07.14;0.85;0.9
169;0;0;0;-16;-85;56;69;45;12;2014;7;10;18;8;35;-0.73;;;;;;;;;;2.01407E+13;10.07.14;0.35;0.52
170;0;0;0;44;54;38;10;16;6;2014;7;10;21;18;18;1.02;;;;;;;;;;2.01407E+13;10.07.14;1.51;0.89
171;0;0;0;76;33;59;9;11;5;2014;7;10;21;18;59;1.39;;;;;;;;;;2.01407E+13;10.07.14;1.76;0.94
172;0;0;0;43;-24;59;10;14;6;2014;7;10;21;28;40;1.83;;;;;;;;;;2.01407E+13;10.07.14;2.05;0.85
173;0;0;0;-62;-80;20;24;28;7;2014;7;10;21;29;1;0.16;;;;;;;;;;2.01407E+13;10.07.14;0.94;0.78
174;0;0;0;49;114;13;9;11;6;2014;7;10;22;8;37;0.41;;;;;;;;;;2.01407E+13;10.07.14;1.11;0.88
175;0;0;0;47;79;28;31;35;8;2014;7;11;4;25;20;-0.6;;;;;;;;;;2.01407E+13;11.07.14;0.43;0.63
176;0;0;0;-20;-76;53;32;37;10;2014;7;11;10;38;24;-0.33;;;;;;;;;;2.01407E+13;11.07.14;0.61;0.83
177;0;0;0;-96;-89;-5;21;28;8;2014;7;11;12;45;2;-0.18;;;;;;;;;;2.01407E+13;11.07.14;0.71;0.7
178;0;0;0;27;84;13;13;23;9;2014;7;11;14;12;32;0.68;;;;;;;;;;2.01407E+13;11.07.14;1.28;0.85
179;0;0;0;-13;-92;30;24;30;9;2014;7;12;3;24;45;-0.5;;;;;;;;;;2.01407E+13;12.07.14;0.5;0.81
180;0;0;0;5;-67;43;18;21;6;2014;7;12;7;5;11;0.01;;;;;;;;;;2.01407E+13;12.07.14;0.84;1
181;0;0;0;2;-59;38;17;26;7;2014;7;12;15;58;9;-0.25;;;;;;;;;;2.01407E+13;12.07.14;0.67;0.79
182;0;0;0;-66;-57;-12;23;28;7;2014;7;12;22;49;11;-0.57;;;;;;;;;;2.01407E+13;12.07.14;0.46;0.78
183;0;0;0;67;-42;84;20;26;7;2014;7;13;11;4;13;-0.26;;;;;;;;;;2.01407E+13;13.07.14;0.66;0.95
184;0;0;0;74;82;42;17;18;6;2014;7;13;14;16;58;-0.36;;;;;;;;;;2.01407E+13;13.07.14;0.59;0.86
185;0;0;0;-18;-33;27;21;28;8;2014;7;13;14;18;39;-0.53;;;;;;;;;;2.01407E+13;13.07.14;0.48;0.63
